CASE_ID,CUSTOMER_ID,CASE_DATE,PRODUCT,ISSUE_CATEGORY,ISSUE_SUMMARY,RESOLUTION_SUMMARY,REP_NAME,STATUS,PRIORITY
CASE-00100,CUST-0017,2026-01-31,CloudStore Platform,Performance,Dashboard loading times exceeding 30 seconds for reports with large datasets.,Identified inefficient query patterns in custom dashboard widgets. Optimized the underlying queries and implemented result caching. Load times reduced to under 3 seconds.,Tom Martinez,Resolved,Medium
CASE-00101,CUST-0010,2025-12-20,API Gateway,Integration,Custom middleware integration dropping events under high throughput conditions.,Increased the event queue buffer size and implemented dead-letter queue processing. Added monitoring alerts for queue depth thresholds.,Mike Rodriguez,Resolved,Low
CASE-00102,CUST-0039,2026-02-15,API Gateway,Data Loss,Export job produced incomplete CSV files missing the last several thousand rows.,Found a memory limit being hit during export serialization. Increased the export buffer size and re-ran the export job with verification checksums.,David Kim,Resolved,High
CASE-00103,CUST-0020,2026-02-14,AnalyticsHub,Integration,Webhook deliveries failing with 403 errors to customer's endpoint after infrastructure change.,Customer had updated their firewall rules and forgot to whitelist our webhook IPs. Provided the updated IP range list and verified successful webhook delivery.,Tom Martinez,Resolved,Medium
CASE-00104,CUST-0049,2025-12-27,DataSync Pro,Integration,REST API returning inconsistent schema in responses breaking the customer's ETL pipeline.,Identified a version mismatch where the customer was hitting both v2 and v3 endpoints. Consolidated all calls to v3 and provided migration guidance for deprecated fields.,James Wilson,Resolved,High
CASE-00105,CUST-0036,2025-12-10,DataSync Pro,Login/Authentication,Two-factor authentication codes arriving with significant delay making login impossible.,Switched the customer from SMS-based 2FA to authenticator app-based TOTP. Verified time synchronization on the customer's device.,Tom Martinez,In Progress,Medium
CASE-00106,CUST-0019,2025-12-05,DataSync Pro,Integration,Webhook deliveries failing with 403 errors to customer's endpoint after infrastructure change.,Customer had updated their firewall rules and forgot to whitelist our webhook IPs. Provided the updated IP range list and verified successful webhook delivery.,David Kim,In Progress,High
CASE-00107,CUST-0044,2025-12-30,SecureVault,Data Loss,Accidental deletion of a shared workspace containing critical project files.,Recovered the workspace from the 30-day soft-delete retention. Restored all files and permissions. Recommended enabling workspace deletion protection for critical workspaces.,James Wilson,Open,Medium
CASE-00108,CUST-0018,2025-12-19,CloudStore Platform,Login/Authentication,Account locked after multiple failed login attempts from automated scripts.,Unlocked the account and worked with the customer to implement API key-based authentication for their automated workflows instead of password-based login.,Tom Martinez,Resolved,Low
CASE-00109,CUST-0029,2025-12-16,AnalyticsHub,Integration,Custom middleware integration dropping events under high throughput conditions.,Increased the event queue buffer size and implemented dead-letter queue processing. Added monitoring alerts for queue depth thresholds.,Rachel Foster,Resolved,High
CASE-00110,CUST-0029,2025-12-11,API Gateway,Login/Authentication,Account locked after multiple failed login attempts from automated scripts.,Unlocked the account and worked with the customer to implement API key-based authentication for their automated workflows instead of password-based login.,Carlos Garcia,In Progress,High
CASE-00111,CUST-0002,2025-12-12,DataSync Pro,Login/Authentication,Customer unable to log in after password reset. MFA token not being accepted despite correct entry.,Reset MFA configuration and re-enrolled the user. Cleared cached authentication tokens on the server side. Verified successful login after re-enrollment.,Emma Thompson,In Progress,Critical
CASE-00112,CUST-0049,2025-12-23,AnalyticsHub,Security,Customer requesting SOC 2 compliance documentation for their annual audit.,Provided the current SOC 2 Type II report and compliance attestation. Scheduled a call with our security team to address specific audit questions and control mappings.,Tom Martinez,Resolved,Critical
CASE-00113,CUST-0041,2026-02-01,CloudStore Platform,Security,Customer flagged suspicious login activity from unknown IP addresses on multiple accounts.,"Investigated access logs and confirmed unauthorized access attempts. Forced password reset for affected accounts, enabled geo-based login restrictions, and provided detailed incident report.",Carlos Garcia,Resolved,Medium
CASE-00114,CUST-0011,2026-01-12,AnalyticsHub,Security,Customer flagged suspicious login activity from unknown IP addresses on multiple accounts.,"Investigated access logs and confirmed unauthorized access attempts. Forced password reset for affected accounts, enabled geo-based login restrictions, and provided detailed incident report.",Rachel Foster,Resolved,Medium
CASE-00115,CUST-0030,2025-12-12,SecureVault,Integration,Webhook deliveries failing with 403 errors to customer's endpoint after infrastructure change.,Customer had updated their firewall rules and forgot to whitelist our webhook IPs. Provided the updated IP range list and verified successful webhook delivery.,Aisha Johnson,Escalated,Medium
CASE-00116,CUST-0043,2026-02-08,AnalyticsHub,Configuration,Custom domain SSL certificate configuration failing during the verification step.,The customer's DNS CNAME record was pointing to an incorrect verification endpoint. Corrected the DNS entry and completed SSL certificate provisioning.,Carlos Garcia,Open,Low
CASE-00117,CUST-0041,2026-01-26,CloudStore Platform,Data Loss,Export job produced incomplete CSV files missing the last several thousand rows.,Found a memory limit being hit during export serialization. Increased the export buffer size and re-ran the export job with verification checksums.,Emma Thompson,Resolved,Medium
CASE-00118,CUST-0045,2026-02-01,CloudStore Platform,Login/Authentication,SSO integration failing with SAML assertion errors for enterprise account.,Updated the SAML certificate that had expired. Reconfigured the IdP metadata URL and validated the assertion consumer service endpoint.,James Wilson,Open,Critical
CASE-00119,CUST-0020,2026-02-09,CloudStore Platform,Configuration,Custom domain SSL certificate configuration failing during the verification step.,The customer's DNS CNAME record was pointing to an incorrect verification endpoint. Corrected the DNS entry and completed SSL certificate provisioning.,Mike Rodriguez,Escalated,Low
CASE-00120,CUST-0008,2026-02-21,DataSync Pro,Security,API keys exposed in a public repository triggering a security alert.,Immediately revoked the compromised API keys and issued new ones. Audited access logs during the exposure window and found no unauthorized usage. Recommended implementing key rotation policies.,Rachel Foster,Resolved,Critical
CASE-00121,CUST-0027,2026-01-31,AnalyticsHub,Data Loss,Accidental deletion of a shared workspace containing critical project files.,Recovered the workspace from the 30-day soft-delete retention. Restored all files and permissions. Recommended enabling workspace deletion protection for critical workspaces.,Aisha Johnson,Resolved,Medium
CASE-00122,CUST-0039,2026-02-04,DataSync Pro,Performance,Batch data import jobs timing out when processing files over 500MB.,Increased the batch processing timeout limits and enabled chunked upload mode. Recommended splitting files into 100MB segments for optimal throughput.,Aisha Johnson,Escalated,Medium
CASE-00123,CUST-0033,2026-01-04,CloudStore Platform,Integration,Custom middleware integration dropping events under high throughput conditions.,Increased the event queue buffer size and implemented dead-letter queue processing. Added monitoring alerts for queue depth thresholds.,Tom Martinez,Escalated,High
CASE-00124,CUST-0010,2026-01-27,API Gateway,Security,Customer requesting SOC 2 compliance documentation for their annual audit.,Provided the current SOC 2 Type II report and compliance attestation. Scheduled a call with our security team to address specific audit questions and control mappings.,Rachel Foster,Open,Medium
CASE-00125,CUST-0030,2026-01-11,DataSync Pro,Data Loss,Customer reports missing records in their database after a scheduled maintenance window.,Investigated and found records were moved to an archive table during maintenance. Restored records to the primary table and adjusted the archival policy settings.,Aisha Johnson,Resolved,Medium
CASE-00126,CUST-0021,2026-01-30,AnalyticsHub,Configuration,Custom domain SSL certificate configuration failing during the verification step.,The customer's DNS CNAME record was pointing to an incorrect verification endpoint. Corrected the DNS entry and completed SSL certificate provisioning.,Priya Patel,Escalated,Critical
CASE-00127,CUST-0003,2025-12-17,API Gateway,Feature Request,Customer requesting ability to export reports in PDF format with custom branding.,Logged feature request FR-4521. Provided workaround using the API to generate HTML reports that can be converted to PDF with their branding. Escalated to product team.,David Kim,Escalated,High
CASE-00128,CUST-0034,2026-01-28,CloudStore Platform,Billing,Customer charged twice for monthly subscription renewal.,Confirmed duplicate charge in payment system. Issued immediate refund for the duplicate transaction and added a billing flag to prevent recurrence.,Priya Patel,In Progress,Medium
CASE-00129,CUST-0031,2026-01-03,SecureVault,Configuration,Custom domain SSL certificate configuration failing during the verification step.,The customer's DNS CNAME record was pointing to an incorrect verification endpoint. Corrected the DNS entry and completed SSL certificate provisioning.,Carlos Garcia,Escalated,High
CASE-00130,CUST-0021,2026-02-19,AnalyticsHub,Login/Authentication,SSO integration failing with SAML assertion errors for enterprise account.,Updated the SAML certificate that had expired. Reconfigured the IdP metadata URL and validated the assertion consumer service endpoint.,Emma Thompson,Resolved,High
CASE-00131,CUST-0048,2025-12-12,AnalyticsHub,Performance,Search functionality returning results very slowly across the entire organization's workspace.,Rebuilt the search index which had become fragmented. Applied index optimization and increased the allocated search compute resources.,Mike Rodriguez,In Progress,High
CASE-00132,CUST-0011,2026-02-27,SecureVault,Login/Authentication,Account locked after multiple failed login attempts from automated scripts.,Unlocked the account and worked with the customer to implement API key-based authentication for their automated workflows instead of password-based login.,Sarah Chen,Escalated,Low
CASE-00133,CUST-0023,2026-01-17,AnalyticsHub,Billing,Usage-based charges not matching customer's internal tracking metrics.,Audited the metering logs and found a discrepancy in how API calls were counted. Corrected the metering configuration and issued a credit adjustment.,Tom Martinez,Resolved,Medium
CASE-00134,CUST-0011,2025-12-23,CloudStore Platform,Configuration,Environment variable configuration not persisting across application restarts.,Identified the customer was setting variables at the session level instead of the environment level. Updated configuration to use persistent environment settings.,David Kim,Resolved,High
CASE-00135,CUST-0015,2026-01-29,SecureVault,Security,API keys exposed in a public repository triggering a security alert.,Immediately revoked the compromised API keys and issued new ones. Audited access logs during the exposure window and found no unauthorized usage. Recommended implementing key rotation policies.,David Kim,Resolved,Medium
CASE-00136,CUST-0044,2026-02-08,DataSync Pro,Performance,Batch data import jobs timing out when processing files over 500MB.,Increased the batch processing timeout limits and enabled chunked upload mode. Recommended splitting files into 100MB segments for optimal throughput.,Tom Martinez,Resolved,Medium
CASE-00137,CUST-0041,2026-01-24,SecureVault,Security,Customer requesting SOC 2 compliance documentation for their annual audit.,Provided the current SOC 2 Type II report and compliance attestation. Scheduled a call with our security team to address specific audit questions and control mappings.,Aisha Johnson,Resolved,High
CASE-00138,CUST-0007,2025-12-31,AnalyticsHub,Feature Request,Customer requesting ability to export reports in PDF format with custom branding.,Logged feature request FR-4521. Provided workaround using the API to generate HTML reports that can be converted to PDF with their branding. Escalated to product team.,Emma Thompson,In Progress,Medium
CASE-00139,CUST-0043,2026-01-20,SecureVault,Login/Authentication,Two-factor authentication codes arriving with significant delay making login impossible.,Switched the customer from SMS-based 2FA to authenticator app-based TOTP. Verified time synchronization on the customer's device.,Sarah Chen,In Progress,Medium
CASE-00140,CUST-0019,2025-12-30,API Gateway,Feature Request,Request for real-time collaboration features in the report builder.,Created feature request FR-4589. Shared the product roadmap timeline showing this feature planned for Q3. Offered early beta access when available.,Tom Martinez,Resolved,Medium
CASE-00141,CUST-0044,2026-02-23,DataSync Pro,Performance,Batch data import jobs timing out when processing files over 500MB.,Increased the batch processing timeout limits and enabled chunked upload mode. Recommended splitting files into 100MB segments for optimal throughput.,Sarah Chen,In Progress,Critical
CASE-00142,CUST-0029,2025-12-05,API Gateway,Feature Request,Request for real-time collaboration features in the report builder.,Created feature request FR-4589. Shared the product roadmap timeline showing this feature planned for Q3. Offered early beta access when available.,Emma Thompson,Resolved,High
CASE-00143,CUST-0048,2026-01-23,DataSync Pro,Data Loss,Data synchronization failure resulted in partial data in the staging environment.,Identified a network interruption during sync. Ran a full resynchronization and implemented checksum validation to detect partial transfers in the future.,Carlos Garcia,Open,Low
CASE-00144,CUST-0011,2026-01-02,AnalyticsHub,Integration,Custom middleware integration dropping events under high throughput conditions.,Increased the event queue buffer size and implemented dead-letter queue processing. Added monitoring alerts for queue depth thresholds.,Mike Rodriguez,Resolved,High
CASE-00145,CUST-0005,2025-12-19,DataSync Pro,Configuration,Role-based access control rules not being applied correctly to new team members.,"Found a caching issue with the RBAC policy engine. Cleared the policy cache, corrected the role hierarchy, and verified permissions for all affected users.",Rachel Foster,Escalated,Critical
CASE-00146,CUST-0006,2026-01-20,CloudStore Platform,Integration,Salesforce integration not syncing new contact records created in the last 48 hours.,Found the Salesforce connected app token had expired. Re-authorized the integration and triggered a manual backfill for the missed sync window.,Carlos Garcia,Resolved,Medium
CASE-00147,CUST-0038,2026-01-18,SecureVault,Performance,Batch data import jobs timing out when processing files over 500MB.,Increased the batch processing timeout limits and enabled chunked upload mode. Recommended splitting files into 100MB segments for optimal throughput.,Sarah Chen,Resolved,High
CASE-00148,CUST-0040,2025-12-29,CloudStore Platform,Security,Customer flagged suspicious login activity from unknown IP addresses on multiple accounts.,"Investigated access logs and confirmed unauthorized access attempts. Forced password reset for affected accounts, enabled geo-based login restrictions, and provided detailed incident report.",Aisha Johnson,Resolved,Critical
CASE-00149,CUST-0009,2025-12-06,CloudStore Platform,Integration,REST API returning inconsistent schema in responses breaking the customer's ETL pipeline.,Identified a version mismatch where the customer was hitting both v2 and v3 endpoints. Consolidated all calls to v3 and provided migration guidance for deprecated fields.,Mike Rodriguez,Resolved,Critical
CASE-00150,CUST-0035,2025-12-18,AnalyticsHub,Security,Customer requesting SOC 2 compliance documentation for their annual audit.,Provided the current SOC 2 Type II report and compliance attestation. Scheduled a call with our security team to address specific audit questions and control mappings.,Rachel Foster,In Progress,Medium
CASE-00151,CUST-0038,2025-12-20,AnalyticsHub,Performance,Batch data import jobs timing out when processing files over 500MB.,Increased the batch processing timeout limits and enabled chunked upload mode. Recommended splitting files into 100MB segments for optimal throughput.,Aisha Johnson,Open,High
CASE-00152,CUST-0003,2026-02-27,SecureVault,Data Loss,Customer reports missing records in their database after a scheduled maintenance window.,Investigated and found records were moved to an archive table during maintenance. Restored records to the primary table and adjusted the archival policy settings.,Carlos Garcia,Resolved,Medium
CASE-00153,CUST-0044,2026-01-17,API Gateway,Feature Request,Customer requesting ability to export reports in PDF format with custom branding.,Logged feature request FR-4521. Provided workaround using the API to generate HTML reports that can be converted to PDF with their branding. Escalated to product team.,James Wilson,Resolved,Low
CASE-00154,CUST-0030,2025-12-12,DataSync Pro,Login/Authentication,SSO integration failing with SAML assertion errors for enterprise account.,Updated the SAML certificate that had expired. Reconfigured the IdP metadata URL and validated the assertion consumer service endpoint.,James Wilson,Resolved,Low
CASE-00155,CUST-0037,2025-12-27,CloudStore Platform,Data Loss,Data synchronization failure resulted in partial data in the staging environment.,Identified a network interruption during sync. Ran a full resynchronization and implemented checksum validation to detect partial transfers in the future.,James Wilson,Escalated,Medium
CASE-00156,CUST-0050,2025-12-19,API Gateway,Login/Authentication,Account locked after multiple failed login attempts from automated scripts.,Unlocked the account and worked with the customer to implement API key-based authentication for their automated workflows instead of password-based login.,Priya Patel,Resolved,Medium
CASE-00157,CUST-0012,2025-12-15,CloudStore Platform,Billing,Invoice showing charges for a plan tier the customer did not subscribe to.,"Identified a plan migration error during the last billing cycle. Corrected the subscription record, regenerated the invoice, and applied the price difference as credit.",James Wilson,Escalated,Low
CASE-00158,CUST-0002,2025-12-23,SecureVault,Login/Authentication,Customer unable to log in after password reset. MFA token not being accepted despite correct entry.,Reset MFA configuration and re-enrolled the user. Cleared cached authentication tokens on the server side. Verified successful login after re-enrollment.,Rachel Foster,Resolved,Low
CASE-00159,CUST-0048,2025-12-09,AnalyticsHub,Security,Customer flagged suspicious login activity from unknown IP addresses on multiple accounts.,"Investigated access logs and confirmed unauthorized access attempts. Forced password reset for affected accounts, enabled geo-based login restrictions, and provided detailed incident report.",Tom Martinez,Open,High
CASE-00160,CUST-0029,2026-02-03,DataSync Pro,Login/Authentication,Account locked after multiple failed login attempts from automated scripts.,Unlocked the account and worked with the customer to implement API key-based authentication for their automated workflows instead of password-based login.,Rachel Foster,Escalated,High
CASE-00161,CUST-0030,2026-02-21,CloudStore Platform,Login/Authentication,Two-factor authentication codes arriving with significant delay making login impossible.,Switched the customer from SMS-based 2FA to authenticator app-based TOTP. Verified time synchronization on the customer's device.,Aisha Johnson,Escalated,Critical
CASE-00162,CUST-0044,2025-12-14,AnalyticsHub,Security,Vulnerability scan showing outdated TLS version on the customer's dedicated endpoint.,Upgraded the TLS configuration from 1.1 to 1.3 on the customer's dedicated endpoint. Ran compliance scan to verify all cipher suites meet current security standards.,Carlos Garcia,Resolved,Low
CASE-00163,CUST-0005,2025-12-17,SecureVault,Feature Request,Request for real-time collaboration features in the report builder.,Created feature request FR-4589. Shared the product roadmap timeline showing this feature planned for Q3. Offered early beta access when available.,Rachel Foster,Open,Medium
CASE-00164,CUST-0030,2026-02-03,API Gateway,Configuration,Environment variable configuration not persisting across application restarts.,Identified the customer was setting variables at the session level instead of the environment level. Updated configuration to use persistent environment settings.,Mike Rodriguez,In Progress,Low
CASE-00165,CUST-0028,2026-01-27,DataSync Pro,Configuration,Custom domain SSL certificate configuration failing during the verification step.,The customer's DNS CNAME record was pointing to an incorrect verification endpoint. Corrected the DNS entry and completed SSL certificate provisioning.,Aisha Johnson,Resolved,Medium
CASE-00166,CUST-0047,2025-12-13,SecureVault,Configuration,Environment variable configuration not persisting across application restarts.,Identified the customer was setting variables at the session level instead of the environment level. Updated configuration to use persistent environment settings.,Carlos Garcia,Resolved,Medium
CASE-00167,CUST-0044,2026-01-30,CloudStore Platform,Performance,Dashboard loading times exceeding 30 seconds for reports with large datasets.,Identified inefficient query patterns in custom dashboard widgets. Optimized the underlying queries and implemented result caching. Load times reduced to under 3 seconds.,Aisha Johnson,Resolved,High
CASE-00168,CUST-0048,2026-01-17,DataSync Pro,Login/Authentication,Account locked after multiple failed login attempts from automated scripts.,Unlocked the account and worked with the customer to implement API key-based authentication for their automated workflows instead of password-based login.,Rachel Foster,Open,Medium
CASE-00169,CUST-0043,2025-12-16,AnalyticsHub,Feature Request,Customer requesting ability to export reports in PDF format with custom branding.,Logged feature request FR-4521. Provided workaround using the API to generate HTML reports that can be converted to PDF with their branding. Escalated to product team.,Aisha Johnson,Escalated,High
CASE-00170,CUST-0019,2026-02-15,SecureVault,Feature Request,Enterprise customer needs role-based dashboard access with granular permissions.,Documented the detailed requirements and submitted to product backlog as high-priority item. Implemented a temporary solution using workspace-level access controls.,James Wilson,Open,Low
CASE-00171,CUST-0043,2026-01-31,DataSync Pro,Performance,Dashboard loading times exceeding 30 seconds for reports with large datasets.,Identified inefficient query patterns in custom dashboard widgets. Optimized the underlying queries and implemented result caching. Load times reduced to under 3 seconds.,Carlos Garcia,Open,Medium
CASE-00172,CUST-0049,2026-01-05,API Gateway,Data Loss,Customer reports missing records in their database after a scheduled maintenance window.,Investigated and found records were moved to an archive table during maintenance. Restored records to the primary table and adjusted the archival policy settings.,Rachel Foster,Escalated,High
CASE-00173,CUST-0039,2026-02-23,SecureVault,Login/Authentication,Account locked after multiple failed login attempts from automated scripts.,Unlocked the account and worked with the customer to implement API key-based authentication for their automated workflows instead of password-based login.,Emma Thompson,In Progress,Low
CASE-00174,CUST-0023,2025-12-01,DataSync Pro,Billing,Usage-based charges not matching customer's internal tracking metrics.,Audited the metering logs and found a discrepancy in how API calls were counted. Corrected the metering configuration and issued a credit adjustment.,Mike Rodriguez,Resolved,Medium
CASE-00175,CUST-0048,2026-02-20,CloudStore Platform,Performance,Search functionality returning results very slowly across the entire organization's workspace.,Rebuilt the search index which had become fragmented. Applied index optimization and increased the allocated search compute resources.,Aisha Johnson,Resolved,High
CASE-00176,CUST-0030,2026-01-13,DataSync Pro,Feature Request,Customer requesting ability to export reports in PDF format with custom branding.,Logged feature request FR-4521. Provided workaround using the API to generate HTML reports that can be converted to PDF with their branding. Escalated to product team.,Tom Martinez,Resolved,Medium
CASE-00177,CUST-0004,2025-12-20,DataSync Pro,Login/Authentication,Two-factor authentication codes arriving with significant delay making login impossible.,Switched the customer from SMS-based 2FA to authenticator app-based TOTP. Verified time synchronization on the customer's device.,David Kim,Resolved,High
CASE-00178,CUST-0032,2026-02-16,AnalyticsHub,Configuration,Customer unable to configure custom email templates for automated notifications.,Walked the customer through the template configuration API. Found their HTML template had unsupported CSS properties. Provided a compatible template library.,Rachel Foster,Escalated,Medium
CASE-00179,CUST-0023,2026-01-25,CloudStore Platform,Integration,Salesforce integration not syncing new contact records created in the last 48 hours.,Found the Salesforce connected app token had expired. Re-authorized the integration and triggered a manual backfill for the missed sync window.,David Kim,Open,High
CASE-00180,CUST-0003,2025-12-29,AnalyticsHub,Login/Authentication,SSO integration failing with SAML assertion errors for enterprise account.,Updated the SAML certificate that had expired. Reconfigured the IdP metadata URL and validated the assertion consumer service endpoint.,James Wilson,Resolved,Low
CASE-00181,CUST-0049,2026-01-02,SecureVault,Feature Request,Enterprise customer needs role-based dashboard access with granular permissions.,Documented the detailed requirements and submitted to product backlog as high-priority item. Implemented a temporary solution using workspace-level access controls.,Aisha Johnson,Resolved,Low
CASE-00182,CUST-0009,2026-01-18,API Gateway,Data Loss,Customer reports missing records in their database after a scheduled maintenance window.,Investigated and found records were moved to an archive table during maintenance. Restored records to the primary table and adjusted the archival policy settings.,Carlos Garcia,Escalated,Medium
CASE-00183,CUST-0026,2025-12-06,AnalyticsHub,Login/Authentication,Two-factor authentication codes arriving with significant delay making login impossible.,Switched the customer from SMS-based 2FA to authenticator app-based TOTP. Verified time synchronization on the customer's device.,Carlos Garcia,Resolved,Medium
CASE-00184,CUST-0037,2026-01-21,AnalyticsHub,Integration,REST API returning inconsistent schema in responses breaking the customer's ETL pipeline.,Identified a version mismatch where the customer was hitting both v2 and v3 endpoints. Consolidated all calls to v3 and provided migration guidance for deprecated fields.,Carlos Garcia,Resolved,Low
CASE-00185,CUST-0040,2026-01-28,SecureVault,Performance,Search functionality returning results very slowly across the entire organization's workspace.,Rebuilt the search index which had become fragmented. Applied index optimization and increased the allocated search compute resources.,James Wilson,Resolved,Medium
CASE-00186,CUST-0038,2026-01-21,API Gateway,Performance,API response times spiking during peak business hours causing timeouts in downstream systems.,Analyzed traffic patterns and identified a misconfigured rate limiter. Adjusted connection pooling settings and enabled auto-scaling for the customer's tier.,Carlos Garcia,Resolved,Medium
CASE-00187,CUST-0022,2025-12-22,CloudStore Platform,Performance,Batch data import jobs timing out when processing files over 500MB.,Increased the batch processing timeout limits and enabled chunked upload mode. Recommended splitting files into 100MB segments for optimal throughput.,Carlos Garcia,Resolved,Medium
CASE-00188,CUST-0047,2026-02-21,DataSync Pro,Data Loss,Accidental deletion of a shared workspace containing critical project files.,Recovered the workspace from the 30-day soft-delete retention. Restored all files and permissions. Recommended enabling workspace deletion protection for critical workspaces.,James Wilson,Resolved,Low
CASE-00189,CUST-0039,2025-12-20,CloudStore Platform,Billing,Auto-renewal processed despite customer requesting cancellation two weeks prior.,"Found the cancellation request was logged but not processed due to a workflow error. Processed the cancellation, issued a full refund, and escalated the workflow bug to engineering.",David Kim,In Progress,Critical
CASE-00190,CUST-0049,2026-02-11,API Gateway,Security,API keys exposed in a public repository triggering a security alert.,Immediately revoked the compromised API keys and issued new ones. Audited access logs during the exposure window and found no unauthorized usage. Recommended implementing key rotation policies.,Tom Martinez,Open,High
CASE-00191,CUST-0041,2026-01-10,DataSync Pro,Security,API keys exposed in a public repository triggering a security alert.,Immediately revoked the compromised API keys and issued new ones. Audited access logs during the exposure window and found no unauthorized usage. Recommended implementing key rotation policies.,Emma Thompson,Resolved,Low
CASE-00192,CUST-0038,2025-12-08,SecureVault,Performance,Dashboard loading times exceeding 30 seconds for reports with large datasets.,Identified inefficient query patterns in custom dashboard widgets. Optimized the underlying queries and implemented result caching. Load times reduced to under 3 seconds.,Sarah Chen,Resolved,Medium
CASE-00193,CUST-0024,2026-01-06,CloudStore Platform,Performance,Search functionality returning results very slowly across the entire organization's workspace.,Rebuilt the search index which had become fragmented. Applied index optimization and increased the allocated search compute resources.,Aisha Johnson,Open,High
CASE-00194,CUST-0038,2026-02-09,CloudStore Platform,Security,API keys exposed in a public repository triggering a security alert.,Immediately revoked the compromised API keys and issued new ones. Audited access logs during the exposure window and found no unauthorized usage. Recommended implementing key rotation policies.,James Wilson,Open,Critical
CASE-00195,CUST-0039,2026-01-30,API Gateway,Billing,Invoice showing charges for a plan tier the customer did not subscribe to.,"Identified a plan migration error during the last billing cycle. Corrected the subscription record, regenerated the invoice, and applied the price difference as credit.",Mike Rodriguez,Resolved,Critical
CASE-00196,CUST-0046,2025-12-11,API Gateway,Billing,Auto-renewal processed despite customer requesting cancellation two weeks prior.,"Found the cancellation request was logged but not processed due to a workflow error. Processed the cancellation, issued a full refund, and escalated the workflow bug to engineering.",David Kim,In Progress,Low
CASE-00197,CUST-0034,2026-02-05,API Gateway,Billing,Auto-renewal processed despite customer requesting cancellation two weeks prior.,"Found the cancellation request was logged but not processed due to a workflow error. Processed the cancellation, issued a full refund, and escalated the workflow bug to engineering.",Aisha Johnson,Resolved,Medium
CASE-00198,CUST-0050,2026-01-13,API Gateway,Login/Authentication,Customer unable to log in after password reset. MFA token not being accepted despite correct entry.,Reset MFA configuration and re-enrolled the user. Cleared cached authentication tokens on the server side. Verified successful login after re-enrollment.,Carlos Garcia,In Progress,High
CASE-00199,CUST-0022,2025-12-13,API Gateway,Configuration,Environment variable configuration not persisting across application restarts.,Identified the customer was setting variables at the session level instead of the environment level. Updated configuration to use persistent environment settings.,Tom Martinez,In Progress,Medium
CASE-00200,CUST-0022,2025-12-11,API Gateway,Billing,Usage-based charges not matching customer's internal tracking metrics.,Audited the metering logs and found a discrepancy in how API calls were counted. Corrected the metering configuration and issued a credit adjustment.,Aisha Johnson,Resolved,Critical
